,contractSymbol,strike,currency,lastPrice,change,volume,openInterest,bid,ask,contractSize,expiration,lastTradeDate,impliedVolatility,inTheMoney,Type
13,SPY220406P00375000,375.0,USD,2.27,2.27,,2,2.22,2.3,REGULAR,1649203200,1646242617,0.386480744628906,False,P
14,SPY220406P00380000,380.0,USD,2.81,2.81,185.0,4,2.59,2.68,REGULAR,1649203200,1646339732,0.376837286376953,False,P
15,SPY220406P00385000,385.0,USD,3.22,3.22,20.0,20,3.03,3.13,REGULAR,1649203200,1646337842,0.36756003540039,False,P
16,SPY220406P00390000,390.0,USD,3.7,3.7,22.0,76,3.54,3.65,REGULAR,1649203200,1646341378,0.358099680786132,False,P
17,SPY220406P00395000,395.0,USD,4.32,4.32,7.0,80,4.14,4.25,REGULAR,1649203200,1646339523,0.348517257080078,False,P
18,SPY220406P00400000,400.0,USD,5.34,5.34,20.0,42,4.83,4.95,REGULAR,1649203200,1646339837,0.33899586791992103,False,P
19,SPY220406P00405000,405.0,USD,6.19,6.19,7.0,4,5.62,5.75,REGULAR,1649203200,1646339837,0.329199823303222,False,P
20,SPY220406P00410000,410.0,USD,6.69,6.69,103.0,250,6.53,6.67,REGULAR,1649203200,1646341681,0.319220675048828,False,P
21,SPY220406P00415000,415.0,USD,6.75,6.75,7.0,19,7.57,7.72,REGULAR,1649203200,1646334840,0.308875319519042,False,P
22,SPY220406P00420000,420.0,USD,9.27,9.27,79.0,153,8.76,8.91,REGULAR,1649203200,1646340131,0.298011170349121,False,P
23,SPY220406P00425000,425.0,USD,10.5,10.5,12.0,22,10.11,10.28,REGULAR,1649203200,1646341194,0.286994434814453,False,P
24,SPY220406P00430000,430.0,USD,11.96,11.96,39.0,30,11.67,11.83,REGULAR,1649203200,1646339112,0.2753673538208,False,P
25,SPY220406P00435000,435.0,USD,14.64,14.64,27.0,23,13.45,13.63,REGULAR,1649203200,1646340416,0.26386234191894503,False,P
26,SPY220406P00440000,440.0,USD,16.44,16.44,25.0,20,15.51,15.69,REGULAR,1649203200,1646339929,0.252143709106445,True,P
27,SPY220406P00445000,445.0,USD,17.15,17.15,9.0,17,17.56,18.38,REGULAR,1649203200,1646328826,0.24665059997558503,True,P
28,SPY220406P00450000,450.0,USD,20.84,20.84,1.0,0,20.25,21.22,REGULAR,1649203200,1646337180,0.23804472900390602,True,P
29,SPY220406P00460000,460.0,USD,27.45,27.45,3.0,1,26.87,28.19,REGULAR,1649203200,1646337045,0.22858437438964802,True,P
0,SPY220406C00330000,330.0,USD,104.88,104.88,1.0,0,105.7,107.18,REGULAR,1649203200,1646340296,0.5643354113769531,True,C
1,SPY220406C00410000,410.0,USD,31.55,31.55,1.0,0,31.19,32.09,REGULAR,1649203200,1646341672,0.31223221954345703,True,C
2,SPY220406C00415000,415.0,USD,26.69,26.69,,4,27.24,28.05,REGULAR,1649203200,1646236102,0.30036100036621,True,C
3,SPY220406C00420000,420.0,USD,21.03,21.03,,1,23.49,24.1,REGULAR,1649203200,1646152948,0.28705546936035103,True,C
4,SPY220406C00425000,425.0,USD,19.7,19.7,2.0,1,19.81,20.44,REGULAR,1649203200,1646340758,0.275977699279785,True,C
5,SPY220406C00430000,430.0,USD,16.1,16.1,10.0,4,16.53,16.73,REGULAR,1649203200,1646339755,0.259711992797851,True,C
6,SPY220406C00435000,435.0,USD,13.03,13.03,17.0,6,13.31,13.5,REGULAR,1649203200,1646341066,0.247932325439453,True,C
7,SPY220406C00440000,440.0,USD,9.99,9.99,40.0,15,10.36,10.55,REGULAR,1649203200,1646340198,0.23596955444335901,False,C
8,SPY220406C00445000,445.0,USD,7.7,7.7,56.0,3,7.74,7.93,REGULAR,1649203200,1646338878,0.223976266174316,False,C
9,SPY220406C00450000,450.0,USD,6.7,6.7,,37,5.52,5.67,REGULAR,1649203200,1646251295,0.21183039154052702,False,C
10,SPY220406C00455000,455.0,USD,3.49,3.49,105.0,47,3.7,3.84,REGULAR,1649203200,1646340361,0.20047796600341702,False,C
11,SPY220406C00460000,460.0,USD,2.45,2.45,82.0,33,2.31,2.4,REGULAR,1649203200,1646339368,0.188789850463867,False,C
12,SPY220406C00465000,465.0,USD,1.48,1.48,46.0,15,1.34,1.44,REGULAR,1649203200,1646337394,0.18024501403808502,False,C
13,SPY220406C00470000,470.0,USD,0.8,0.8,30.0,15,0.73,0.81,REGULAR,1649203200,1646339936,0.172981903076171,False,C
14,SPY220406C00475000,475.0,USD,0.46,0.46,10.0,11,0.39,0.45,REGULAR,1649203200,1646337710,0.16846534667968702,False,C
15,SPY220406C00480000,480.0,USD,0.24,0.24,6.0,15,0.22,0.26,REGULAR,1649203200,1646341414,0.16724465576171801,False,C
16,SPY220406C00485000,485.0,USD,0.15,0.15,3.0,0,0.13,0.16,REGULAR,1649203200,1646341414,0.16846534667968702,False,C
17,SPY220406C00490000,490.0,USD,0.16,0.16,,14,0.08,0.11,REGULAR,1649203200,1646254167,0.17285983398437502,False,C
